PostCode,Latitude,Longitude
E1,51.517078,-0.055237
E2,51.528886,-0.062453
E3,51.527507,-0.023339
E4,51.632758,-0.006313
E5,51.559155,-0.052794
E6,51.523724,0.057710
E7,51.546824,0.029661
E8,51.544065,-0.066981
E9,51.542208,-0.037346
E10,51.566137,-0.015073
E11,51.570791,0.023568
E12,51.554193,0.058525
E13,51.527437,0.027647
E14,51.503885,-0.016615
E15,51.539769,-0.000954
E16,51.509236,0.039183
E17,51.586922,-0.020061
E18,51.592486,0.028015
E19,51.545121,-0.012625
N1,51.538973,-0.098564
N2,51.589741,-0.166745
N3,51.600681,-0.194086
N4,51.572707,-0.097105
N5,51.554929,-0.097220
N6,51.573903,-0.148706
N7,51.553135,-0.118128
N8,51.583919,-0.116047
N9,51.627753,-0.056485
N10,51.593024,-0.143544
N11,51.617605,-0.141193
N12,51.615686,-0.177000
N13,51.618929,-0.103321
N14,51.631028,-0.127573
N15,51.584272,-0.075898
N16,51.562098,-0.074794
N17,51.598593,-0.068240
N18,51.613834,-0.064619
N19,51.565194,-0.132072
N20,51.630864,-0.188197
N21,51.638921,-0.095491
N22,51.599627,-0.112406
NW1,51.533715,-0.141344
NW2,51.561467,-0.220275
NW3,51.554686,-0.172392
NW4,51.590013,-0.221550
NW5,51.553674,-0.143445
NW6,51.541302,-0.197399
NW7,51.621015,-0.234702
NW8,51.532577,-0.173821
NW9,51.585144,-0.255111
NW10,51.541348,-0.248503
NW11,51.578023,-0.194787
SE1,51.500859,-0.098540
SE2,51.488051,0.118611
SE3,51.469889,0.022280
SE4,51.459008,-0.032247
SE5,51.473184,-0.089877
SE6,51.438209,-0.011878
SE7,51.485704,0.038787
SE8,51.481393,-0.026689
SE9,51.449462,0.060529
SE10,51.483396,0.001362
SE11,51.489440,-0.111157
SE12,51.445096,0.020765
SE13,51.458806,-0.007590
SE14,51.475998,-0.039461
SE15,51.472238,-0.063802
SE16,51.495979,-0.046092
SE17,51.488597,-0.092780
SE18,51.479921,0.077174
SE19,51.418590,-0.084616
SE20,51.412212,-0.057874
SE21,51.441828,-0.084462
SE22,51.453811,-0.069774
SE23,51.443048,-0.047186
SE24,51.455641,-0.097874
SE25,51.398609,-0.072820
SE26,51.426332,-0.052736
SE27,51.431436,-0.101774
SE28,51.503059,0.111489
SW1,51.496405,-0.143647
SW2,51.449682,-0.117911
SW3,51.486144,-0.161020
SW4,51.461478,-0.133444
SW5,51.491725,-0.192214
SW6,51.475905,-0.200761
SW7,51.497103,-0.173921
SW8,51.477313,-0.129830
SW9,51.469773,-0.112618
SW10,51.484758,-0.182977
SW11,51.466006,-0.162536
SW12,51.446901,-0.149172
SW13,51.476450,-0.238575
SW14,51.463700,-0.267162
SW15,51.453738,-0.234924
SW16,51.419991,-0.128193
SW17,51.431317,-0.164387
SW18,51.449928,-0.188434
SW19,51.424491,-0.206163
SW20,51.409557,-0.227153
W1,51.515483,-0.141194
W2,51.512415,-0.176236
W3,51.511239,-0.266803
W4,51.487440,-0.260840
W5,51.512985,-0.297059
W6,51.493689,-0.226799
W7,51.510974,-0.334754
W8,51.502161,-0.193546
W9,51.525804,-0.192294
W10,51.522038,-0.213635
W11,51.511501,-0.205555
W12,51.508738,-0.233451
W13,51.514280,-0.320083
W14,51.494177,-0.207570
EC1A,51.518092,-0.098859
EC1M,51.521406,-0.101626
EC1N,51.519891,-0.107304
EC1R,"51.525734, -0.105069",
EC1V,51.527151,-0.096218
EC1Y,51.523039,-0.089842
EC2A,51.523647,-0.080295
EC2M,51.517833,-0.081762
EC2N,51.515561,-0.082367
EC2R,51.515625,-0.087413
EC2Y,51.515655,-0.093136
EC3A,51.514921,-0.077986
EC3M,51.511996,-0.080731
EC3N,51.511089,-0.075125
EC3R,51.509774,-0.080692
EC3V,51.513128,-0.084201
EC4A,51.516050,-0.106312
EC4M,51.514399,-0.097644
EC4N,51.512387,-0.088042
EC4R,51.509861,-0.088564
EC4V,51.511885,-0.098231
EC4Y,51.512559,-0.107202
WC1A,51.517601,-0.123494
WC1B,51.519601,-0.125238
WC1E,51.522995,-0.131263
WC1H,51.527317,-0.125049
WC1N,51.523338,-0.118264
WC1R,51.519793,-0.115148
WC1V,51.517966,-0.117093
WC1X,51.527793,-0.112447
WC2A,51.516215,-0.113537
WC2B,51.514771,-0.118454
WC2E,51.512426,-0.121746
WC2H,51.513258,-0.126248
WC2N,51.508414,-0.123425
WC2R,51.511571,-0.116890
